who_region,iso3c,participant,sfp_amc,vaccine,doses,population_2020_millions
WPRO,PNG,Papua New Guinea,AMC,AZ/SII,684000,8.947027
PAHO,PRY,Paraguay,SFP,AZ/SKBio,357600,7.13253
PAHO,PER,Peru,SFP,AZ/SKBio,1653600,32.971846
PAHO,PER,Peru,SFP,Pfizer/BioNTech,117000,32.971846
WPRO,PHL,Philippines,AMC,AZ/SKBio,5500800,109.581085
WPRO,PHL,Philippines,AMC,Pfizer/BioNTech,117000,109.581085
EMRO,QAT,Qatar,SFP,AZ/SKBio,144000,2.88106
WPRO,KOR,Republic of Korea,SFP,AZ/SKBio,2596800,51.269183
WPRO,KOR,Republic of Korea,SFP,Pfizer/BioNTech,117000,51.269183
AFRO,RWA,Rwanda,AMC,AZ/SII,996000,12.952209
AFRO,RWA,Rwanda,AMC,Pfizer/BioNTech,102960,12.952209
WPRO,WSM,Samoa,AMC,AZ/SKBio,79200,0.19841
AFRO,STP,Sao Tome and Principe,AMC,AZ/SII,96000,0.219161
EMRO,SAU,Saudi Arabia,SFP,AZ/SKBio,1747200,34.813867
AFRO,SEN,Senegal,AMC,AZ/SII,1296000,16.74393
EURO,SRB,Serbia,SFP,AZ/SKBio,345600,8.73737
AFRO,SLE,Sierra Leone,AMC,AZ/SII,612000,7.976985
WPRO,SGP,Singapore,SFP,AZ/SKBio,288000,5.850343
WPRO,SLB,Solomon Islands,AMC,AZ/SII,108000,0.686878
EMRO,SOM,Somalia,AMC,AZ/SII,1224000,15.893219
AFRO,ZAF,South Africa,SFP,AZ/SKBio,2976000,59.30869
AFRO,ZAF,South Africa,SFP,Pfizer/BioNTech,117000,59.30869
AFRO,SSD,South Sudan,AMC,AZ/SII,864000,11.193729
SEARO,LKA,Sri Lanka,AMC,AZ/SII,1692000,21.41325
PAHO,KNA,St. Kitts and Nevis,SFP,AZ/SKBio,21600,0.053192
PAHO,LCA,St. Lucia6,AMC,AZ/SKBio,74400,0.183629
PAHO,VCT,St. Vincent and the Grenadines,AMC,AZ/SKBio,45600,0.110947
EMRO,SDN,Sudan,AMC,AZ/SII,3396000,43.849269
PAHO,SUR,Suriname,SFP,AZ/SKBio,79200,0.586634
EMRO,SYR,Syrian Arab Republic7,AMC,AZ/SII,1020000,17.500657
EURO,TJK,Tajikistan,AMC,AZ/SII,732000,9.537642
SEARO,TLS,Timor-Leste,AMC,AZ/SKBio,100800,1.318442
AFRO,TGO,Togo,AMC,AZ/SII,636000,8.278737
WPRO,TON,Tonga,AMC,AZ/SKBio,43200,0.105697
PAHO,TTO,Trinidad and Tobago,SFP,AZ/SKBio,100800,1.399491
EMRO,TUN,Tunisia,AMC,AZ/SKBio,592800,11.818618
EMRO,TUN,Tunisia,AMC,Pfizer/BioNTech,93600,11.818618
WPRO,TUV,Tuvalu,AMC,AZ/SKBio,4800,0.011792
AFRO,UGA,Uganda,AMC,AZ/SII,3552000,45.741
EURO,UKR,Ukraine,AMC,AZ/SKBio,2215200,43.733759
EURO,UKR,Ukraine,AMC,Pfizer/BioNTech,117000,43.733759
PAHO,URY,Uruguay,SFP,AZ/SKBio,172800,3.473727
EURO,UZB,Uzbekistan,AMC,AZ/SII,2640000,33.469199
WPRO,VUT,Vanuatu,AMC,AZ/SKBio,100800,0.30715
PAHO,VEN,Venezuela,SFP,AZ/SKBio,1425600,28.435943
WPRO,VNM,Vietnam,AMC,AZ/SKBio,4886400,97.338583
EMRO,PSE,West Bank and Gaza,AMC,AZ/SKBio,240000,5.101416
EMRO,PSE,West Bank and Gaza,AMC,Pfizer/BioNTech,37440,5.101416
EMRO,YEM,"Yemen, Rep.",AMC,AZ/SII,2316000,29.825968
AFRO,ZMB,Zambia,AMC,AZ/SII,1428000,18.383956
AFRO,ZWE,Zimbabwe,AMC,AZ/SII,1152000,14.862927
